Plate	Position	Well	Row	Column	Target	Group_Target	siRNA_target_A	siRNA_target_B
Plate_1	B,2	2,2	2	2	CCNL1	CCNL1_CCNL2	1	NA
Plate_1	B,3	2,3	2	3	CCNL1	CCNL1_CCNL2	2	NA
Plate_1	B,4	2,4	2	4	CCNL1	CCNL1_CCNL2	3	NA
Plate_1	B,5	2,5	2	5	CCNL1	CCNL1_CCNL2	4	NA
Plate_1	B,6	2,6	2	6	CCNL2	CCNL1_CCNL2	NA	1
Plate_1	B,7	2,7	2	7	CCNL2	CCNL1_CCNL2	NA	2
Plate_1	B,8	2,8	2	8	CCNL2	CCNL1_CCNL2	NA	3
Plate_1	B,9	2,9	2	9	CCNL2	CCNL1_CCNL2	NA	4
Plate_1	B,10	2,10	2	10	Control_1	Control	1	NA
Plate_1	B,11	2,11	2	11	Control_2	Control	NA	1
Plate_1	C,2	3,2	3	2	CCNL1|CCNL2	CCNL1_CCNL2	1	4
Plate_1	C,3	3,3	3	3	CCNL1|CCNL2	CCNL1_CCNL2	1	3
Plate_1	C,4	3,4	3	4	CCNL1|CCNL2	CCNL1_CCNL2	2	2
Plate_1	C,5	3,5	3	5	CCNL1|CCNL2	CCNL1_CCNL2	2	1
Plate_1	C,6	3,6	3	6	CCNL1|CCNL2	CCNL1_CCNL2	3	4
Plate_1	C,7	3,7	3	7	CCNL1|CCNL2	CCNL1_CCNL2	3	3
Plate_1	C,8	3,8	3	8	CCNL1|CCNL2	CCNL1_CCNL2	4	2
Plate_1	C,9	3,9	3	9	CCNL1|CCNL2	CCNL1_CCNL2	4	1
Plate_1	C,10	3,10	3	10	Control_1	Control	1	NA
Plate_1	C,11	3,11	3	11	Control_2	Control	NA	1
Plate_1	D,2	4,2	4	2	SLC25A37	SLC25A37_SLC25A28	1	NA
Plate_1	D,3	4,3	4	3	SLC25A37	SLC25A37_SLC25A28	2	NA
Plate_1	D,4	4,4	4	4	SLC25A37	SLC25A37_SLC25A28	3	NA
